yaw_delta,pitch_delta,target_yaw,target_pitch,since_attack,distance,on_ground,delta_x,delta_y,delta_z,target_velocity_x,target_velocity_y,target_velocity_z,player_velocity_x,player_velocity_y,player_velocity_z,yaw,pitch
3.714760,-15.056898,-105.410713,-5.044801,0.096000,4.032226,0.000000,3.872191,0.354583,-1.067359,0.176500,0.419875,-0.170000,-0.005596,-0.301535,-0.160308,-109.125473,10.012097
5.337891,-17.381659,-103.601974,-7.369562,0.192000,4.193456,0.000000,4.042172,0.537889,-0.978053,0.176500,0.419875,-0.170000,0.002851,-0.373904,-0.162255,-108.939865,10.012097
3.849854,-22.335766,-101.841866,-10.467513,0.288000,4.367967,0.000000,4.203862,0.793563,-0.881439,0.176500,0.419875,-0.170000,0.010396,-0.444826,-0.168906,-105.691719,11.868253
0.184166,-24.253201,-100.124840,-8.487023,0.384000,4.406070,1.000000,4.289956,0.650271,-0.766076,0.176500,0.419875,-0.170000,0.021043,-0.078400,-0.174335,-100.309006,15.766178
-3.520630,-18.808840,-96.033859,0.484033,0.480000,4.061931,0.000000,4.039284,-0.034317,-0.426958,-0.130500,0.419875,0.080500,0.196500,0.333200,-0.226772,-92.513229,19.292873
-5.962074,-16.838818,-93.463844,5.423903,0.576000,3.767346,0.000000,3.743626,-0.356104,-0.226600,-0.130500,0.419875,0.080500,0.194797,0.248136,-0.223810,-87.501770,22.262722
-9.042496,-14.920661,-90.511902,9.755063,0.672000,3.498794,0.000000,3.448067,-0.592827,-0.030811,-0.130500,0.419875,0.080500,0.194707,0.164773,-0.219653,-81.469406,24.675724
-8.539337,-15.672711,-86.482185,10.395129,0.768000,3.103747,0.000000,3.047052,-0.560030,0.187312,-0.130500,0.419875,0.080500,0.196209,0.083078,-0.213949,-77.942848,26.067841
-6.085274,-17.256077,-81.429611,9.461417,0.864000,2.710347,0.000000,2.643623,-0.445537,0.398415,-0.130500,0.419875,0.080500,0.198404,0.003016,-0.207561,-75.344337,26.717495
0.297035,-19.286911,-75.047302,7.523391,0.960000,2.292029,0.000000,2.195356,-0.300095,0.586302,-0.130500,0.419875,0.080500,0.202980,-0.075444,-0.183017,-75.344337,26.810303
3.870506,-22.636990,-66.833519,3.709274,1.000000,1.926408,0.000000,1.767365,-0.124622,0.756266,-0.130500,0.419875,0.080500,0.184712,-0.152335,-0.166545,-70.704025,26.346264
-7.493435,-25.886972,-56.294930,-2.417749,0.096000,1.641709,0.000000,1.364530,0.069254,0.910204,-0.130500,0.419875,0.080500,0.168088,-0.227688,-0.151556,-48.801495,23.469223
-21.204569,-29.692327,-42.999157,-13.276491,0.192000,1.473906,0.000000,0.978320,0.338482,1.049152,-0.130500,0.419875,0.080500,0.152960,-0.301535,-0.137916,-21.794588,16.415836
-16.250198,-35.797436,-28.856853,-21.794600,0.288000,1.419829,0.000000,0.636266,0.527155,1.154638,-0.130500,0.419875,0.080500,0.132022,-0.373904,-0.108777,-12.606656,14.002836
-7.069792,-50.122238,-14.664841,-31.850245,0.384000,1.493641,0.000000,0.321199,0.788196,1.227413,-0.050750,-0.373875,0.031375,0.107463,-0.444826,-0.079010,-7.595048,18.271992
-8.361945,-51.345314,-1.571854,-27.226433,0.480000,1.413512,1.000000,0.034478,0.646693,1.256429,-0.050750,-0.373875,0.031375,0.083418,-0.078400,-0.053106,6.790092,24.118879
-20.977776,-25.323490,1.496758,2.229276,0.576000,0.928225,0.000000,-0.024227,-0.036106,0.927206,-0.128000,0.419875,0.187000,-0.074446,0.333200,0.163736,22.474533,27.552767
-26.927029,-10.537455,-2.503532,18.407429,0.672000,1.131503,0.000000,0.046896,-0.357297,1.072586,-0.128000,0.419875,0.187000,-0.089601,0.248136,0.158064,24.423496,28.944883
-26.562262,-7.304331,-6.222305,25.724092,0.768000,1.367215,0.000000,0.133499,-0.593424,1.224460,-0.128000,0.419875,0.187000,-0.103687,0.164773,0.152154,20.339956,33.028423
-24.344477,-18.991230,-10.222633,21.090584,0.864000,1.557417,0.000000,0.257886,-0.560427,1.430022,-0.128000,0.419875,0.187000,-0.115857,0.083078,0.148334,14.121843,40.081814
-21.501307,-31.562687,-13.504761,14.830056,0.960000,1.741465,0.000000,0.393129,-0.445736,1.636909,-0.128000,0.419875,0.187000,-0.125735,0.003016,0.147128,7.996546,46.392742
-12.179554,-36.705704,-17.083229,8.851768,1.000000,1.951037,0.000000,0.566314,-0.300228,1.842742,-0.128000,0.419875,0.187000,-0.137380,-0.075444,0.130662,-4.903675,45.557472
6.747612,-27.784046,-19.687370,3.295432,1.000000,2.169456,0.000000,0.729655,-0.124710,2.039263,-0.128000,0.419875,0.187000,-0.125016,-0.152335,0.118903,-26.434982,31.079477
9.535477,-14.081464,-21.632683,-1.656258,0.096000,2.393879,0.000000,0.882150,0.069195,2.224338,-0.128000,0.419875,0.187000,-0.113765,-0.227688,0.108202,-31.168159,12.425206
-1.034761,-8.999310,-22.922165,-7.339756,0.192000,2.649310,0.000000,1.023395,0.338453,2.420115,-0.128000,0.419875,0.187000,-0.103526,-0.301535,0.098463,-21.887403,1.659553
